"site";"annee"
"Albi BV";"2009"
"Albi BV";"2011"
"Deux Sèvres BL";"2011"
"Deux Sèvres BL";"Moyenne"
"La Roche sur Yon BV";"2008"
"La Roche sur Yon BV";"2011"
"Mayenne_nord BL";"Moyenne"
"Mayenne_sud BL";"2011"
"Mayenne_sud BL";"Moyenne"
"Rougier OL";"Eté humide"
"Rougier OL";"Eté sec"
"Rougier OL";"Moyenne"
"St Amans des Cots BL";"2002"
"St Amans des Cots BL";"2009"
"St Brieuc BL";"2008"
"St Brieuc BL";"2011"
"St Girons BL";"2049"
"St Girons BL";"2057"
"St Girons BL";"Moy futur : 2044"
"St Girons BL";"Moy futur 30ans 2050"
"St Girons BL";"Moy passé : 2001"
"Villefranches de Rouergue BL";"2003"
"Villefranches de Rouergue BL";"2005"
"Villefranches de Rouergue BL";"2011"
"zone Saint Nectaire BL";"Eté sec"
"zone Saint Nectaire BL";"Moyenne"
"zone Saint Nectaire BL";"Printemps sec"
"Laguiole BV";"moyenne passée"
"Laguiole BV";"moyenne futur 2100"
"Laguiole BV";"2051"
"Laguiole BV";"2081"
"Laguiole BV";"2089"
"Laguiole BV";"2093"
"Laguiole BL";"2051"
"Laguiole BL";"2081"
"Laguiole BL";"2093"
"Laguiole BL";"moyenne futur 2100"
"Laguiole BL";"moyenne passée"
"Bressuire OV";"2011"
"Bressuire OV";"Moyenne"
"Quins BL";"2051"
"Quins BL";"2085"
"Quins BL";"2087"
"Quins BL";"moyenne futur 2100"
"Quins BL";"moyenne passée"
"Quins BV";"moyenne futur 2100"
"Quins BV";"moyenne passée"
"St Girons BL";"sécheresse estivale (2044)"
"Nord Loire Atlantique";"PASSE"
"Mayenne BL";"année 1"
"Mayenne BL";"année 2"
"MORVAN";"FUTUR"
"MORVAN";"PASSE"
"MORVAN";"SELECTION"
"Vendée";"PASSE"
"vendée";"PASSE"
"Vendée";"FUTUR"
"vendée";"FUTUR"
"Vendée";"SELECTION"
"vendée";"SELECTION"
"Vendée";"SELECTION_2"
"vendée";"SELECTION_2"
"Sud Mayenne BL";"PASSE"
"Sud Mayenne BL";"FUTUR Aléa 1"
"Sud Mayenne BL";"FUTUR Aléa 2"
"Est Vendée";"PASSE"
"Est Vendée";"2056"
"Est Vendée";"2042"
"Nord Loire Atlantique";"FUTUR 1"
"Nord Loire Atlantique";"FUTUR 2"
"Ouest Loire Atlantique";"PASSE"
"Ouest Loire Atlantique";"FUTUR print sec"
"Ouest Loire Atlantique";"FUTUR print plu"